source,source_lang,translation_bureau,m2m100_418m_base,m2m100_418m_finetuned,mbart50_mmt_base,mbart50_mmt_finetuned,nllb_3b_base_researchonly,opus_mt_base,opus_mt_finetuned,corpus_type
The three-year geometric mean biomass index is represented by the solid black line.,en,La moyenne géométrique sur trois ans de l'indice de la biomasse est représentée par la ligne noire pleine.,L'indice de biomasse moyen géométrique de trois ans est représenté par la ligne noire solide.,La moyenne géométrique sur trois ans de l'indice de la biomasse est représentée par la ligne noire pleine.,L'indice de biomasse moyenne géométrique de trois ans est représenté par la ligne noire solide.,La moyenne géométrique sur trois ans de l'indice de la biomasse est représentée par la ligne noire pleine.,L'indice de biomasse géométrique moyen sur trois ans est représenté par la ligne noire solide.,L'indice de biomasse géométrique sur trois ans est représenté par la ligne noire.,La moyenne géométrique sur trois ans de l'indice de la biomasse est représentée par la ligne noire pleine.,eval_data
"To lighten the graphical presentation, no interaction between the months and the depth variable is included in these graphs.",en,"Pour alléger la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Pour soulager la présentation graphique, aucune interaction entre les mois et la variable de profondeur n’est incluse dans ces graphiques.","Afin de faciliter la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Pour éclaircir la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Afin de simplifier la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Afin d'alléger la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Pour alléger la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.","Pour alléger la présentation graphique, aucune interaction entre les mois et la variable de profondeur n'est incluse dans ces graphiques.",eval_data
We will rather add some text in the narrative part of the conclusions relating to the tools available to reduce impacts.,en,Nous ajouterons plutôt quelques passages dans la partie narrative des conclusions concernant les outils disponibles pour réduire les effets.,Nous allons plutôt ajouter un peu de texte dans la partie narrative des conclusions concernant les outils disponibles pour réduire les impacts.,Nous ajouterons plutôt un texte dans la partie narrative des conclusions concernant les outils disponibles pour réduire les impacts.,Nous ajouterons plutôt un texte dans la partie narrative des conclusions relative aux outils disponibles pour réduire les répercussions.,Nous ajouterons plutôt un texte dans la partie narrative des conclusions concernant les outils disponibles pour réduire les impacts.,Nous ajouterons plutôt un texte dans la partie narrative des conclusions concernant les outils disponibles pour réduire les impacts.,Nous ajouterons plutôt un peu de texte dans la partie narrative des conclusions relatives aux outils disponibles pour réduire les impacts.,Nous ajouterons plutôt un peu de texte dans la partie narrative des conclusions relatives aux outils disponibles pour réduire les impacts.,eval_data
"The ageing lab director communicated that ageing this species was extremely difficult , and mentioned that a seasoned age reader had found it difficult.",en,Le directeur du laboratoire de scalimétrie a indiqué qu il était extrêmement difficile de déterminer l'âge de cette espèce et a mentionné qu un lecteur d'âge expérimenté l'avait trouvé difficile.,"Le directeur du laboratoire de vieillissement a communiqué que le vieillissement de cette espèce était extrêmement difficile, et a mentionné qu'un lecteur âgé habité l'avait trouvé difficile.","Le directeur du laboratoire de détermination de l'âge a indiqué que l'âge de cette espèce était extrêmement difficile, et a mentionné qu un lecteur de l'âge saisonné l'avait trouvé difficile.",Le directeur du laboratoire du vieillissement a indiqué que le vieillissement de cette espèce était extrêmement difficile et a mentionné qu'un lecteur d'âge expérimenté le trouvait difficile.,Le directeur du laboratoire de détermination de l'âge a indiqué que la détermination de l'âge de cette espèce était extrêmement difficile et a mentionné qu un lecteur d'âge saisonnier l'avait trouvée difficile.,"Le directeur du laboratoire de vieillissement a communiqué que vieillir cette espèce était extrêmement difficile, et a mentionné qu'un lecteur d'âge chevronné l'avait trouvé difficile.","Le directeur du laboratoire de vieillissement a communiqué que le vieillissement de cette espèce était extrêmement difficile, et a mentionné qu'un lecteur d'âge chevronné l'avait trouvé difficile.","Le directeur du laboratoire sur l'âge a indiqué que l'âge de cette espèce était extrêmement difficile , et a mentionné qu un lecteur d'âge chevronné avait trouvé cela difficile.",eval_data
Graphique du bas : Les barres grises représentent la température moyenne de l'eau.,fr,Bottom graph: The grey bars represent the average water temperature.,Graph at the bottom: The gray bars represent the average water temperature.,Bottom graph: The grey bars represent the average water temperature.,Lower Graph: The gray bars represent the average water temperature.,Bottom graph: The grey bars represent the average water temperature.,Bottom graph: The gray bars represent the average water temperature.,Bottom graph: Gray bars represent the average water temperature.,Bottom graph: The grey bars represent the average water temperature.,eval_data
Uncertainty also exists regarding the degree of genetic influence of hatchery salmon on wild Chinook Salmon and the adverse influence on fitness.,en,Une incertitude entoure également le degré d'influence génétique du saumon d'écloserie sur le saumon chinook sauvage et l'influence négative sur la valeur adaptative.,Il y a aussi l’incertitude quant au degré d’influence génétique de la salmonne de chinook sur la salmonne sauvage et à l’influence négative sur la forme physique.,Il existe également une incertitude quant au degré d'influence génétique du saumon d'écloserie sur le saumon chinook sauvage et à l'influence négative sur la qualité de la santé.,Il existe également des incertitudes quant au degré d'influence génétique du saumon d'élevage sur le saumon Chinook sauvage et à l'influence négative sur la condition physique.,Il existe également de l'incertitude quant au degré d'influence génétique du saumon d'écloserie sur le saumon chinook sauvage et à l'influence négative sur l'aptitude.,Il existe également une incertitude quant au degré d'influence génétique du saumon d'écloserie sur le saumon chinook sauvage et à l'influence négative sur la condition physique.,Il existe également des incertitudes quant au degré d'influence génétique du saumon d'écloserie sur le saumon quinnat sauvage et quant à l'influence négative sur la condition physique.,Il existe également une incertitude quant au degré d'influence génétique du saumon d'écloserie sur le saumon quinnat sauvage et à l'influence néfaste sur la condition physique.,eval_data
"Gulf Region Revised reference points for snow crab 2 SUMMARY Revised reference points based on an expanded assessment area of 57,840 km are provided for the southern Gulf of St.",en,Région du Golfe Points de référence révisés crabe des neiges 2 SOMMAIRE Les points de référence révisés fondés sur une zone d'évaluation élargie de 57 840 km sont fournis pour l'unité biologique du crabe des neiges du sud du golfe du Saint-Laurent.,"Les points de référence révisés pour le crab de neige 2 SUMMARY Les points de référence révisés sur la base d'une zone d'évaluation étendue de 57,840 km sont fournis pour le golfe sud de Saint-Pétersbourg.",Région du Golfe Points de référence révisés pour le crabe des neiges 2 SOMMAIRE Les points de référence révisés fondés sur une superficie d'évaluation élargie de 57 840 km sont fournis pour le sud du golfe du Saint-Laurent.,"Région du golfe Points de référence révisés pour le crabe des neiges 2 SYNTHÈSE Les points de référence révisés, fondés sur une superficie d'évaluation élargie de 57 840 km, sont fournis pour le sud du golfe de St.",Région du Golfe Points de référence révisés pour le crabe des neiges 2 SOMMAIRE Les points de référence révisés fondés sur une zone d'évaluation élargie de 57 840 km sont fournis pour le sud du golfe du Saint-Laurent.,Région du Golfe Points de référence révisés pour le crabe des neiges 2 RÉSUMÉ Des points de référence révisés basés sur une zone d'évaluation élargie de 57 840 km sont fournis pour le sud du golfe de Saint-Pétersbourg.,Région du Golfe Points de référence révisés pour le crabe des neiges 2 RÉSUMÉ Des points de référence révisés fondés sur une zone d'évaluation élargie de 57 840 km sont fournis pour le sud du golfe de Saint-Laurent.,Région du Golfe Points de référence révisés pour le crabe des neiges 2 SOMMAIRE Des points de référence révisés fondés sur une zone d'évaluation élargie de 57 840 km sont fournis pour le sud du golfe du Saint-Laurent.,eval_data
"À 67,5 mm de longueur, 29 des femelles peuvent atteindre la maturité sexuelle.",fr,"At 67.5 mm carapace length, 29 of the females can reach sexual maturity.","At 67,5 mm long, 29 of the females can reach sexual maturity.","At 67.5 mm in length, 29 of females can reach sexual maturity.","At 67.5 mm in length, 29 of the females can reach sexual maturity.","At 67.5 mm length, 29 of females can reach sexual maturity.","At 67.5 mm long, 29 of the females can reach sexual maturity.","At 67.5 mm in length, 29 of the females can reach sexual maturity.","At 67.5 mm length, 29 of females can reach sexual maturity.",eval_data
"In the lake, fish were primarily 9-15 years old (range 3-29).",en,"Dans le lac situé en amont, la majorité des poissons étaient âgés de 9 à 15 ans (leur âge variait de 3 à 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9-15 ans (range 3-29).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (3 à 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (3 à 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (3 à 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (de 3 à 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (entre 3 et 29 ans).","Dans le lac, les poissons étaient principalement âgés de 9 à 15 ans (fourchette de 3 à 29 ans).",eval_data
"Diagnostic feature(s): Rarity is a joint consequence of geographic range, habitat specificity, and the mechanisms determining local population dynamics.",en,"Caractéristiques de diagnostic : La rareté est à la fois fonction de l'aire de répartition géographique, de la spécificité de l'habitat et des mécanismes qui régissent la dynamique des populations locales.","La rareté est une conséquence conjointe de la gamme géographique, de la spécificité des habitats et des mécanismes déterminant la dynamique de la population locale.","Caractéristiques de diagnostic : La rareté est une conséquence commune de l'aire de répartition géographique, de la spécificité de l'habitat et des mécanismes déterminant la dynamique de la population locale.","Caractéristique(s) diagnostique(s): La rareté est une conséquence conjointe de l'aire géographique, de la spécificité de l'habitat et des mécanismes déterminant la dynamique de la population locale.","Caractéristiques diagnostiques : La rareté est une conséquence conjointe de l'aire de répartition géographique, de la spécificité de l'habitat et des mécanismes déterminant la dynamique de la population locale.","Caractéristique diagnostique: la rareté est une conséquence conjointe de l'aire de répartition géographique, de la spécificité de l'habitat et des mécanismes déterminant la dynamique de la population locale.","Caractéristique(s) diagnostique(s) : La rareté est une conséquence conjointe de l’aire de répartition géographique, de la spécificité de l’habitat et des mécanismes qui déterminent la dynamique des populations locales.","Caractéristique(s) diagnostique(s) : La rareté est une conséquence conjointe de l'aire de répartition géographique, de la spécificité de l'habitat et des mécanismes qui déterminent la dynamique des populations locales.",eval_data
Il n'y a aucun signalement de la maladie chez le saumon sauvage du Pacifique.,fr,There is no report of the disease in wild Pacific salmon.,There is no report of the disease in the Pacific wild salmon.,There are no reports of disease in wild Pacific salmon.,There are no signs of disease in Pacific wild salmon.,There are no reports of disease in wild Pacific salmon.,There are no reports of disease in wild Pacific salmon.,There are no reports of the disease in wild Pacific salmon.,There are no reports of disease in wild Pacific salmon.,eval_data
"Oui, il y a un changement d'orientation, mais il n'est pas dicté par le public, mais par la Loi sur les pêches et la LEP.",fr,"A: Yes, there is a change of focus, but it is not driven by public, but by the Oceans Act and SARA.","Yes, there is a change of orientation, but it is not dictated by the public, but by the Fisheries Act and the LEP.","Yes, there is a change in orientation, but it is not dictated by the public, but by the Fisheries Act and SARA.","Yes, there is a change of direction, but it is not dictated by the public, but by the Fisheries Act and SARA.","Yes, there is a change in direction, but it is not dictated by the public, but by the Fisheries Act and SARA.","Yes, there is a change of direction, but it is not dictated by the public, but by the Fisheries Act and the LEA.","Yes, there is a change in direction, but it is not dictated by the public, but by the Fisheries Act and SARA.","Yes, there is a change in direction, but it is not dictated by the public, but by the Fisheries Act and SARA.",eval_data
"Enfin, et ce point est peut-être moins important, j ai trouvé étrange qu il n'y ait aucune mention des modifications majeures de l'habitat migratoire entre le lac Cultus et le fleuve Fraser, en particulier dans le ruisseau Sweltzer, la rivière Chilliwack et la rivière Sumas.",fr,"Finally, of perhaps minor significance, I found it odd that there was no mention of major alterations to migratory habitat between Cultus Lake and the Fraser River; specifically, along Sweltzer Creek, Chilliwack River, and Sumas River.","Finally, and this point is less important, I found strange that there is no mention of major changes in the migratory habitat between Lake Cultus and the Fraser River, in the Sweltzer River, the Chilliwack River and the Sumas River.","Finally, and this is less important, I found strange that there is no mention of major changes in migratory habitat between Cultus Lake and the Fraser River, in Sweltzer Creek, Chilliwack River, and Sumas River.","Finally, and perhaps less importantly, I find it strange that there is no mention of major changes in migratory habitat between Lake Cultus and the Fraser River, particularly in Sweltzer Creek, Chilliwack River and Sumas River.","Finally, and this is perhaps less important, I found strange that there is no mention of major changes in migratory habitat between Cultus Lake and the Fraser River, particularly in Sweltzer Creek, Chilliwack River, and Sumas River.","Finally, and this is perhaps less important, I found it strange that there was no mention of major changes in migratory habitat between Cultus Lake and the Fraser River, particularly in the Sweltzer Creek, the Chilliwack River and the Sumas River.","Finally, and perhaps less importantly, I found it strange that there was no mention of major changes in migratory habitat between Cultus Lake and the Fraser River, particularly in Sweltzer Creek, Chilliwack River and Sumas River.","Finally, and perhaps less importantly, I found it odd that there was no mention of major changes in migratory habitat between Cultus Lake and the Fraser River, particularly in Sweltzer Creek, Chilliwack River, and Sumas River.",eval_data
"(in prep.1) providing information on population trajectory, density, growth and survival rate which was incorporated into the population model.",en,"en préparation1, ont fourni des renseignements sur la trajectoire, la densité, la croissance et le taux de survie de la population, qui ont été intégrés au modèle de population.","(en pré.1) fournir des informations sur la trajectoire de la population, la densité, la croissance et le taux de survie qui ont été incorporés dans le modèle de la population.","(en préparation 1) fournir des renseignements sur la trajectoire, la densité, la croissance et le taux de survie des populations qui ont été intégrés au modèle de population.","(en prévision 1) fournissant des informations sur la trajectoire de la population, sa densité, sa croissance et son taux de survie qui ont été incorporées dans le modèle de la population.","(en préparation 1) fournissant des renseignements sur la trajectoire de la population, la densité, la croissance et le taux de survie qui ont été intégrés au modèle de population.","(dans la préparation 1) fournissant des informations sur la trajectoire, la densité, la croissance et le taux de survie de la population qui ont été intégrées dans le modèle de population.","(en prep.1) fournissant des informations sur la trajectoire de la population, la densité, la croissance et le taux de survie qui ont été incorporés dans le modèle de population.","(en préparation.1) fournir des renseignements sur la trajectoire, la densité, la croissance et le taux de survie de la population qui ont été intégrés dans le modèle de population.",eval_data
"Au cours des dernières années, les deux modèles ont montré des résidus négatifs plus importants pour les jeunes et les Harengs âgés, et des résidus positifs pour les 5 à 8 ans.",fr,"Both models showed larger negative residuals for younger and older ages, and positive residuals for ages 5 to 8 in recent years.","In recent years, both models have shown greater negative remains for young and older Harengs, and positive remains for 5 to 8 years old.","In recent years, both models have shown greater negative residuals for young and older Herring, and positive residuals for 5-8 years.","Over the past few years, both models have shown greater negative residues for young and older Herons, and positive residues for 5- to 8-year-olds.","In recent years, both models have shown larger negative residuals for young and older Herring, and positive residuals for ages 5 to 8.","In recent years, both models have shown higher negative residues for young and older herrings, and positive residues for 5 to 8 year olds.","In recent years, both models have shown higher negative residues for young and aged herring, and positive residues for 5 to 8 years.","In recent years, both models have shown greater negative residuals for young and older Herring, and positive residuals for 5-8 years.",eval_data
"aestivalis) durant l'année i au lac Mactaquac, sur la rivière Saint-Jean (Nouveau-Brunswick), et l'abondance des poissons de la classe d'âge de trois ans remontant à la passe migratoire du barrage Mactaquac.",fr,"aestivalis to the Mactaquac Lake on the Saint John River, New Brunswick, in year i and the year-class abundance at age 3 returning to the fishway at the Mactaquac Dam.","Aestivalis) during the year I at Lake Mactaquac, on the River Saint-Jean (New Brunswick), and the abundance of fish of the three-year-old class reaching to the migration pass of the Mactaquac barrier.","aestivalis) during year i at Mactaquac Lake, on the St.","aestivalis) during year i at Lake Mactaquac, on the St. John River, New Brunswick, and the abundance of three-year-old fish from the migratory pass of the Mactaquac Dam.","aestivalis) during year i at Mactaquac Lake, on the St.","In the United States, the population of the freshwater fish (aestivalis) in year I at Mactaquac Lake on the St. John River in New Brunswick and the abundance of fish in the three-year-old age group from the Mactaquac Dam migration pass.","aestivalis) in year i at Mactaquac Lake on the Saint John River, New Brunswick, and the abundance of fish in the three-year-old class dating back to the Mactaquac Dam Flyway.","aestivalis) in year i at Mactaquac Lake, on the Saint John River, New Brunswick, and the abundance of 3-year-old fish from the Mactaquac Dam migration route.",eval_data
It was questioned whether there were any of the fatty acid analyses of eastern Scotian Shelf seals that might give some insights for the southern Gulf.,en,On demande s'il y a des analyses des acides gras menées sur les phoques de l'est du Plateau néo-écossais qui pourraient être utiles pour la population du sud du golfe.,Il a été interrogé s'il y avait l'une des analyses d'acides gras des signaux de Shelf écossais orientales qui pourraient donner des informations sur le golfe sud.,On se demande s'il y a eu des analyses d'acides gras des phoques de l'est du plateau néo-écossais qui pourraient donner des informations sur le sud du golfe.,On s'est demandé s'il y avait des analyses d'acides gras des phoques du plateau écossais de l'est qui pouvaient fournir des renseignements sur le sud du golfe.,On demande s'il existe des analyses des acides gras des phoques de l'est du plateau néo-écossais qui pourraient fournir des renseignements sur le sud du golfe.,On s'est demandé s'il existait des analyses d'acides gras sur les phoques du plateau de l'Est de l'Écosse qui pourraient donner des indications pour le sud du golfe.,On s'est demandé s'il y avait des analyses d'acides gras effectuées sur les phoques de l'est du plateau néo-écossais qui pourraient donner un aperçu du sud du golfe.,On se demande s'il y a eu des analyses d'acides gras sur les phoques de l'est du plateau néo-écossais qui pourraient donner des indications sur le sud du golfe.,eval_data
Région de la capitale nationale Lignes directrices scientifiques sur les approches de surveillance des réseaux biorégionaux marins 24 L'échelle spatiale de la conception de la surveillance peut-elle mesurer à la fois les objectifs propres au site et ceux propres au réseau.,fr,National Capital Region Science Guidance on Approaches for Marine Bioregional Network Monitoring 20 Can the spatial scale of the monitoring design measure site-specific objectives as well as network objectives.,National Capital Region Scientific Guidelines on the monitoring approaches of marine bioregional networks 24 The spatial scale of the monitoring design can measure both the site-specific objectives and the network-specific objectives.,National Capital Region Science Guidelines on Marine Bioregional Network Monitoring Approaches 24 Can the spatial scale of monitoring design measure both site-specific and network-specific objectives.,National Capital Region Scientific Guidelines on Marine Bioregional Network Surveillance Approaches 24 The spatial scale of surveillance design can measure both site-specific and network-specific objectives.,National Capital Region Science Guidelines for Monitoring Approaches to Marine Bioregional Networks Can the spatial scale of monitoring design measure both site-specific and network-specific objectives.,National Capital Region Scientific guidelines on monitoring approaches for marine bioregional networks 24 Can the spatial scale of the monitoring design measure both site-specific and network-specific objectives?,National Capital Region Scientific Guidelines for Monitoring Approaches to Marine Bioregional Networks 24 Can the spatial scale of monitoring design measure both site-specific and network-specific objectives?,National Capital Region Scientific Guidance on Monitoring Approaches for Marine Bioregional Networks 24 Can the spatial scale of monitoring design measure both site-specific and network-specific objectives.,eval_data
"On note aussi une diminution du recrutement ces dernières années, bien qu'elle ne soit pas aussi prononcée que la baisse générale de la taille du stock.",fr,"There has also been decreased recruitment in recent years, although the decline is not as severe as the overall decline in stock size.","There is also a decrease in recruitment in recent years, although it is not as prominent as the overall decrease in stock size.","There is also a decline in recruitment in recent years, although it is not as strong as the overall decline in stock size.","There has also been a decline in recruitment in recent years, although it is not as pronounced as the overall decline in stock size.","There has also been a decline in recruitment in recent years, although it is not as pronounced as the overall decline in stock size.","There has also been a decline in recruitment in recent years, although not as pronounced as the general decline in stock size.","There has also been a decline in recruitment in recent years, although it is not as pronounced as the overall decline in stock size.","There has also been a decrease in recruitment in recent years, although not as pronounced as the overall decline in stock size.",eval_data
"In Area 21B, the Listuguj Micmac practice a subsistence fall fishery in addition to a regular spring fishery.",en,"Dans la zone 21B, les Micmacs de Listuguj pratiquent une pêche d'automne de subsistance en plus d'une pêche de printemps régulière.","Dans la zone 21B, le Listuguj Micmac pratique une pêche de chute de subsistance en plus d’une pêche régulière de printemps.","Dans la zone 21B, le Micmac Listuguj pratique une pêche d'automne de subsistance en plus d'une pêche de printemps régulière.","Dans la zone 21B, les Micmac de Listuguj pratiquent une pêche de subsistance en automne en plus d'une pêche régulière au printemps.","Dans la zone 21B, la Listeuguj Micmac pratique une pêche d'automne de subsistance en plus d'une pêche printanière régulière.","Dans la zone 21B, les Listuguj Micmac pratiquent une pêche d'automne de subsistance en plus d'une pêche de printemps régulière.","Dans la zone 21B, les Micmacs de Listuguj pratiquent une pêche d'automne de subsistance en plus d'une pêche de printemps régulière.","Dans la zone 21B, les Micmacs de Listuguj pratiquent une pêche d'automne de subsistance en plus d'une pêche de printemps régulière.",eval_data
Quels seraient des échéanciers réalistes pour l'achèvement de ces travaux.,fr,What would be realistic timelines to complete the work.,What would be the realistic deadlines for the completion of these works?,What would be realistic timelines for completion of these work.,What would be the realistic timetables for the completion of this work?,What would be the realistic timeframes for completion of this work.,What would be realistic timelines for the completion of these works?,What would be realistic timelines for the completion of this work?,What would be realistic timelines for completion of this work.,eval_data
"For all these reasons, experts on corals and sponges emphasized the need to exercise caution around the definition of thresholds for significant densities.",en,C est pourquoi les experts en coraux et en éponges ont souligné la nécessité de faire preuve de prudence dans la définition des seuils de densités significatives.,"Pour toutes ces raisons, les experts sur les coraux et les sponges ont souligné la nécessité de faire preuve de prudence autour de la définition des seuils pour les densités significatives.","Pour toutes ces raisons, les experts sur les coraux et les éponges ont souligné la nécessité de faire preuve de prudence autour de la définition des seuils pour les densités importantes.","Pour toutes ces raisons, les experts sur les coraux et les éponges ont souligné la nécessité de faire preuve de prudence à l'égard de la définition de seuils pour les densités significatives.","Pour toutes ces raisons, les experts sur les coraux et les éponges ont souligné la nécessité de faire preuve de prudence à l'égard de la définition des seuils pour les densités importantes.","Pour toutes ces raisons, les spécialistes des coraux et des éponges ont souligné la nécessité de faire preuve de prudence dans la définition des seuils de densité significative.","Pour toutes ces raisons, les experts des coraux et des éponges ont souligné la nécessité de faire preuve de prudence dans la définition des seuils pour les densités significatives.","Pour toutes ces raisons, les experts sur les coraux et les éponges soulignent la nécessité de faire preuve de prudence dans la définition des seuils pour les densités importantes.",eval_data
The allocation of quota to the Chedabucto Bay trap fishery currently stands at 8 of the TAC.,en,Les quotas alloués pour la pêche au casier dans la baie Chedabucto représentent actuellement 8 du TAC.,L’attribution de la quota à la pêche en trape de Chedabucto Bay se situe actuellement à 8 de la TAC.,L allocation du quota à la pêche au casier de la baie Chedabucto représente actuellement 8 du TAC.,L'allocation de quotas à la pêche à la piège de la baie de Chedabucto se situe actuellement à 8 % du TAC.,L allocation du quota à la pêche au casier dans la baie Chedabucto se situe actuellement à 8 du TAC.,Le quota attribué à la pêche au piège dans la baie de Chedabucto s'élève actuellement à 8% du TAC.,L'attribution de quotas à la pêche au casier dans la baie de Chedabucto s'élève actuellement à 8 du TAC.,L attribution du quota à la pêche au casier dans la baie Chedabucto se situe actuellement à 8 du TAC.,eval_data
Uncertainties in the projections are reflected in the probability profiles.,en,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,Les incertitudes dans les projections se reflètent dans les profils de probabilité.,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,Les incertitudes dans les projections se reflètent dans les profils de probabilité.,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,Les incertitudes dans les projections sont reflétées dans les profils de probabilité.,eval_data
Mechanical lesions were a predisposing factor to ulcer formation.,en,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcères.,Les lésions mécaniques étaient un facteur prédisposant à la formation des ulcères.,Les lésions mécaniques étaient un facteur prédisposant la formation d'ulcères.,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcers.,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcères.,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcères.,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcères.,Les lésions mécaniques étaient un facteur prédisposant à la formation d'ulcères.,eval_data
Chaque étape de presque tous les processus décisionnels en matière de gestion des pêches repose sur des réponses qui comportent un éventail de possibilités.,fr,Each step of almost every fisheries management decision process relies on answers that have ranges of possibilities.,Each step of almost all decision-making processes in the field of fishing management is based on answers that include a range of possibilities.,Each step in almost all fisheries management decision-making processes is based on responses that include a range of possibilities.,Each step in almost all fisheries management decision-making processes is based on responses that include a range of options.,Each step in almost all fisheries management decision-making processes relies on responses that have a range of options.,Each step in almost every fisheries management decision-making process is based on responses that have a range of possibilities.,Every step of almost every fisheries management decision-making process is based on responses that include a range of opportunities.,Each step in almost all fisheries management decision-making processes is based on responses that include a range of opportunities.,eval_data
Validation must be performed via pelagic trawl sampling or a camera.,en,"Une validation doit être effectuée, à l'aide d'un échantillonnage au chalut pélagique ou d'une caméra.",La validation doit être effectuée par l'intermédiaire d'échantillons pelagiques ou d'une caméra.,La validation doit être effectuée à l'aide d'un échantillonnage pélagique au chalut ou d'une caméra.,La validation doit être effectuée à l'aide d'un échantillonnage pelagique ou d'une caméra.,La validation doit être effectuée au moyen d'un échantillonnage au chalut pélagique ou d'une caméra.,La validation doit être effectuée par échantillonnage au moyen de chaluts pélagiques ou d'une caméra.,La validation doit être effectuée par échantillonnage au chalut pélagique ou par caméra.,La validation doit être effectuée au moyen d'un échantillonnage au chalut pélagique ou d'une caméra.,eval_data
"Ces bouées sont essentiellement des plates-formes météorologiques, mais elles peuvent enregistrer des mesures de la température à la surface de la mer et la hauteur des vagues.",fr,"These buoys are primarily meteorological platforms, but include measurements of sea surface temperature and wave height.","These mountains are essentially weather platforms, but they can record measurements of the temperature on the sea surface and the height of the waves.","These buoys are primarily weather platforms, but can record measurements of sea surface temperature and wave height.","These buoys are essentially weather platforms, but they can record measurements of sea surface temperature and wave height.","These buoys are essentially weather platforms, but they can record sea surface temperature and wave height measurements.","These buoys are essentially weather platforms, but they can record measurements of sea surface temperature and wave height.","These buoys are essentially weather platforms, but they can record measurements of sea surface temperature and wave height.","These buoys are essentially weather platforms, but they can record measurements of sea surface temperature and wave height.",eval_data
SUMMARY AND CLOSING The meeting participants agreed that the working paper met the Terms of Reference objectives given the recommended revisions.,en,SOMMAIRE ET AJOURNEMENT Les participants à la réunion conviennent que le document de travail répond aux objectifs du cadre de référence compte tenu des révisions recommandées.,SUMMARY ET CLOSING Les participants à la réunion ont convenu que le document de travail a satisfait aux objectifs des Conditions de référence en tenant compte des révisions recommandées.,SUMMARY ET CONCLUSION Les participants à la réunion conviennent que le document de travail satisfait aux objectifs du cadre de référence compte tenu des révisions recommandées.,"Résumé et clôture Les participants à la réunion ont convenu que le document de travail répondait aux objectifs du mandat, compte tenu des révisions recommandées.",SOMMAIRE ET RÉSUMÉ Les participants à la réunion conviennent que le document de travail répond aux objectifs du cadre de référence compte tenu des révisions recommandées.,Les participants à la réunion ont convenu que le document de travail répondait aux objectifs du mandat compte tenu des révisions recommandées.,RÉSUMÉ ET CLTURE Les participants à la réunion ont convenu que le document de travail répondait aux objectifs du mandat compte tenu des révisions recommandées.,SOMMAIRE ET CLTURE Les participants à la réunion conviennent que le document de travail répond aux objectifs du cadre de référence compte tenu des révisions recommandées.,eval_data
"Therefore, we expect the model biomass estimates to be sensitive to what appear as minor changes in the data and prior assumptions.",en,"Par conséquent, nous nous attendons à ce que les estimations modélisées de la biomasse soient sensibles à ce qui semble être des changements mineurs dans les données et les hypothèses antérieures.","Par conséquent, nous attendons que les estimations de modèles de la biomasse soient sensibles à ce qui apparaît comme des changements mineurs dans les données et les hypothèses antérieures.","Par conséquent, nous nous attendons à ce que les estimations de la biomasse du modèle soient sensibles à ce qui semble avoir des changements mineurs dans les données et les hypothèses a priori.","Par conséquent, nous espérons que les estimations de la biomasse du modèle seront sensibles à ce qui semble être un changement mineur des données et des hypothèses antérieures.","Par conséquent, nous nous attendons à ce que les estimations de la biomasse du modèle soient sensibles à ce qui semble être un changement mineur dans les données et les hypothèses a priori.","Par conséquent, nous nous attendons à ce que les estimations de la biomasse du modèle soient sensibles à ce qui apparaît comme des changements mineurs dans les données et les hypothèses antérieures.","Par conséquent, nous nous attendons à ce que les estimations de la biomasse du modèle soient sensibles à ce qui semble être des changements mineurs dans les données et les hypothèses antérieures.","Par conséquent, nous nous attendons à ce que les estimations de la biomasse du modèle soient sensibles à ce qui semble être des changements mineurs dans les données et les hypothèses a priori.",eval_data
